OBJECTID;Id;Nom;PCODE5;Shape_Length;Shape_Area;Tail_pop;annee
1;0;Mikeno;;0,017289425;1,66E-05;;
2;0;Mapendo;;0,028605;3,80E-05;;
3;0;Les volcans; ;0,09259712;0,000295084;1456908;2013
4;0;Katindo; ;0,050111144;0,000124778;;
5;0;Himbi; ;0,077093132;0,000318643;;
6;0;Ndosho;;0,091920866;0,000412722;1872293;2009
7;0;Kyeshero; ;0,109084123;0,000287101;158729;2008
8;0;Mabanga sud;;0,0471539;0,000117178;;
9;0;Murara;;0,044290157;0,000108198;;
10;0;Mabanga Nord;;0,038753375;9,29E-05;;
11;0;Virunga;;0,035498986;6,95E-05;;
12;0;Kasika;;0,069143377;0,000174706;;
13;0;Majengo;;0,064316624;0,000181309;647892;2010
14;0;Kahembe;;0,039551043;8,34E-05;768123;2008
15;0;Bujovu;;0,076622213;0,000335173;;
16;0;Katoyi;;0,067529597;0,000284023;;
